id;stock;news_dt;check_day;open;close;high;low;volume;change;sentiment_summary_avg;sentiment_summary_med;sentiment_title_avg;sentiment_title_med
AAPL_2021-03-20;AAPL;2021-03-20 22:34:34;2021-03-22;0;0;0;0;0;UNCHECKED;-0.0381;0.0;-0.0432;0.0
AAPL_2021-03-19;AAPL;2021-03-19 22:13:31;2021-03-22;0;0;0;0;0;UNCHECKED;0.1949857142857143;0.5574;0.0727;0.0
MSFT_2021-03-20;MSFT;2021-03-20 12:19:40;2021-03-22;0;0;0;0;0;UNCHECKED;0.43;0.43;0.0;0.0
MSFT_2021-03-19;MSFT;2021-03-19 21:45:09;2021-03-22;0;0;0;0;0;UNCHECKED;0.4810833333333333;0.4883999999999999;0.03065;0.0
MSFT_2021-03-18;MSFT;2021-03-18 19:15:01;2021-03-18;0;0;0;0;0;UNCHECKED;0.24585;0.1717;0.0949666666666666;0.0
NFLX_2021-03-20;NFLX;2021-03-20 12:34:00;2021-03-22;0;0;0;0;0;UNCHECKED;-0.37625;-0.37625;-0.10115;-0.10115
NFLX_2021-03-19;NFLX;2021-03-19 18:45:07;2021-03-19;0;0;0;0;0;UNCHECKED;0.3900999999999999;0.4404;0.2066714285714285;0.1779
NFLX_2021-03-18;NFLX;2021-03-18 21:27:14;2021-03-19;0;0;0;0;0;UNCHECKED;0.4194833333333332;0.60955;-0.0264666666666666;0.08895
AAPL_2021-03-21;AAPL;2021-03-21 10:30:00;2021-03-22;0;0;0;0;0;UNCHECKED;0.4854;0.4854;-0.25;-0.25
ADBE_2021-03-20;ADBE;2021-03-20 14:15:00;2021-03-22;0;0;0;0;0;UNCHECKED;0.4939;0.4939;0.3612;0.3612
ADBE_2021-03-19;ADBE;2021-03-19 21:18:42;2021-03-22;0;0;0;0;0;UNCHECKED;0.4603;0.512;-0.1468;0.0
ADBE_2021-03-18;ADBE;2021-03-18 19:07:26;2021-03-18;0;0;0;0;0;UNCHECKED;0.57755;0.57755;0.42115;0.42115
ADBE_2021-03-17;ADBE;2021-03-17 21:35:54;2021-03-18;0;0;0;0;0;UNCHECKED;0.5737;0.3818;0.0674333333333333;0.0
ADBE_2021-03-16;ADBE;2021-03-16 21:45:09;2021-03-17;0;0;0;0;0;UNCHECKED;0.11315;0.11315;0.18045;0.17
ADBE_2021-03-15;ADBE;2021-03-15 18:54:29;2021-03-15;0;0;0;0;0;UNCHECKED;0.2161999999999999;0.0;0.2142333333333333;0.2023
ADBE_2021-03-12;ADBE;2021-03-12 00:23:07;2021-03-12;0;0;0;0;0;UNCHECKED;0.6545000000000001;0.6545000000000001;0.2997;0.2997
ADBE_2021-03-11;ADBE;2021-03-11 17:00:48;2021-03-11;0;0;0;0;0;UNCHECKED;0.9274;0.9274;0.4767;0.4767
FB_2021-03-21;FB;2021-03-21 11:30:00;2021-03-22;0;0;0;0;0;UNCHECKED;0.60375;0.60375;0.0334;0.0334
FB_2021-03-20;FB;2021-03-20 20:28:04;2021-03-22;0;0;0;0;0;UNCHECKED;0.86;0.86;0.7076;0.7076
FB_2021-03-19;FB;2021-03-19 20:20:00;2021-03-22;0;0;0;0;0;UNCHECKED;-0.3373;-0.4593;0.1934375;0.0
TSLA_2021-03-20;TSLA;2021-03-20 20:09:19;2021-03-22;0;0;0;0;0;UNCHECKED;0.4979499999999999;0.6269;0.137625;0.0
TSLA_2021-03-19;TSLA;2021-03-19 21:45:09;2021-03-22;0;0;0;0;0;UNCHECKED;0.0498124999999999;0.0;0.0364125;0.0
ADBE_2021-03-21;ADBE;2021-03-21 08:20:33;2021-03-22;0;0;0;0;0;UNCHECKED;0.2626;0.2626;0.0;0.0
TSLA_2021-03-21;TSLA;2021-03-21 14:06:24;2021-03-22;0;0;0;0;0;UNCHECKED;0.69045;0.69045;0.0;0.0
MSFT_2021-03-21;MSFT;2021-03-21 15:45:00;2021-03-22;0;0;0;0;0;UNCHECKED;-0.1027;-0.1027;-0.3818;-0.3818
